表章項目,時間軸（月次）,市区町村 コード,市区町村,/国籍07,総数,中国,韓国,韓国・朝鮮,フィリピン,ブラジル,ベトナム,ペルー,ネパール,米国,台湾,その他
人数【人】,2016年6月,4581,女川町,,117,60,4,***,5,2,39,***,-,1,-,6
人数【人】,2016年6月,4606,南三陸町,,125,80,5,***,25,-,2,***,-,2,-,11
人数【人】,2016年6月,5201,秋田市,,1458,293,249,***,187,3,32,***,32,150,47,465
人数【人】,2016年6月,5202,能代市,,177,65,17,***,61,-,17,***,-,3,-,14
人数【人】,2016年6月,5203,横手市,,354,173,20,***,103,-,14,***,5,10,1,28
人数【人】,2016年6月,5204,大館市,,270,57,46,***,64,1,50,***,5,7,-,40
人数【人】,2016年6月,5206,男鹿市,,65,14,8,***,9,-,16,***,-,3,1,14
人数【人】,2016年6月,5207,湯沢市,,140,59,26,***,28,1,6,***,-,9,-,11
人数【人】,2016年6月,5209,鹿角市,,103,8,46,***,22,-,6,***,4,3,4,10
人数【人】,2016年6月,5210,由利本荘市,,232,118,39,***,23,1,9,***,6,13,2,21
人数【人】,2016年6月,5211,潟上市,,44,23,5,***,5,-,-,***,1,3,-,7
人数【人】,2016年6月,5212,大仙市,,224,97,37,***,33,-,6,***,8,6,2,35
人数【人】,2016年6月,5213,北秋田市,,156,40,14,***,66,-,22,***,-,7,1,6
人数【人】,2016年6月,5214,にかほ市,,75,38,21,***,2,-,-,***,6,4,-,4
人数【人】,2016年6月,5215,仙北市,,98,41,20,***,10,-,-,***,-,4,9,14
人数【人】,2016年6月,5303,小坂町,,12,-,6,***,1,-,-,***,-,2,-,3
人数【人】,2016年6月,5327,上小阿仁村,,21,1,1,***,18,-,-,***,-,-,-,1
人数【人】,2016年6月,5346,藤里町,,21,8,1,***,11,-,-,***,-,1,-,-
人数【人】,2016年6月,5348,三種町,,46,17,4,***,16,-,4,***,-,1,-,4
人数【人】,2016年6月,5349,八峰町,,27,7,-,***,9,-,6,***,-,2,-,3
人数【人】,2016年6月,5361,五城目町,,13,8,-,***,1,-,1,***,-,1,-,2
人数【人】,2016年6月,5363,八郎潟町,,19,10,2,***,1,-,-,***,-,-,-,6
人数【人】,2016年6月,5366,井川町,,5,2,-,***,-,-,-,***,-,1,-,2
人数【人】,2016年6月,5368,大潟村,,6,1,-,***,-,-,-,***,-,1,-,4
人数【人】,2016年6月,5434,美郷町,,53,34,3,***,11,-,-,***,-,1,1,3
人数【人】,2016年6月,5463,羽後町,,104,70,3,***,18,-,9,***,-,1,-,3
人数【人】,2016年6月,5464,東成瀬村,,8,4,-,***,4,-,-,***,-,-,-,-
人数【人】,2016年6月,6201,山形市,,1237,349,333,***,174,20,31,***,20,53,42,215
人数【人】,2016年6月,6202,米沢市,,586,224,117,***,66,1,20,***,1,11,31,115
人数【人】,2016年6月,6203,鶴岡市,,659,288,77,***,41,5,99,***,5,16,15,113
人数【人】,2016年6月,6204,酒田市,,467,136,111,***,30,8,101,***,2,3,1,75
人数【人】,2016年6月,6205,新庄市,,288,139,41,***,30,2,54,***,3,4,1,14
人数【人】,2016年6月,6206,寒河江市,,287,66,96,***,24,10,74,***,-,4,3,10
人数【人】,2016年6月,6207,上山市,,124,34,54,***,23,1,-,***,-,7,2,3
人数【人】,2016年6月,6208,村山市,,185,61,63,***,31,3,6,***,3,4,1,13
人数【人】,2016年6月,6209,長井市,,229,141,26,***,14,2,13,***,-,3,1,29
人数【人】,2016年6月,6210,天童市,,346,94,113,***,28,8,53,***,4,7,2,37
人数【人】,2016年6月,6211,東根市,,260,102,97,***,15,1,12,***,4,3,2,24
人数【人】,2016年6月,6212,尾花沢市,,104,23,36,***,37,-,1,***,-,3,-,4
人数【人】,2016年6月,6213,南陽市,,182,68,63,***,15,-,19,***,-,4,2,11
人数【人】,2016年6月,6301,山辺町,,38,5,21,***,3,1,6,***,-,-,1,1
人数【人】,2016年6月,6302,中山町,,44,19,20,***,1,2,-,***,-,-,1,1
人数【人】,2016年6月,6321,河北町,,129,23,46,***,17,5,35,***,-,1,-,2
人数【人】,2016年6月,6322,西川町,,46,8,26,***,1,-,7,***,-,2,-,2
人数【人】,2016年6月,6323,朝日町,,59,24,23,***,10,-,-,***,-,1,1,-
人数【人】,2016年6月,6324,大江町,,62,28,25,***,5,2,-,***,-,1,-,1
人数【人】,2016年6月,6341,大石田町,,67,3,28,***,27,-,2,***,2,1,-,4
人数【人】,2016年6月,6361,金山町,,51,12,16,***,6,-,15,***,-,-,-,2
人数【人】,2016年6月,6362,最上町,,64,27,31,***,3,2,-,***,-,-,-,1
人数【人】,2016年6月,6363,舟形町,,24,9,11,***,2,1,-,***,-,-,-,1
人数【人】,2016年6月,6364,真室川町,,40,15,6,***,4,1,-,***,-,-,1,13
人数【人】,2016年6月,6365,大蔵村,,19,3,9,***,6,-,1,***,-,-,-,-
人数【人】,2016年6月,6366,鮭川村,,27,10,6,***,7,-,-,***,-,1,-,3
人数【人】,2016年6月,6367,戸沢村,,64,26,8,***,12,-,12,***,-,-,-,6
人数【人】,2016年6月,6381,高畠町,,134,77,32,***,12,1,3,***,-,2,-,7
人数【人】,2016年6月,6382,川西町,,79,39,22,***,6,-,6,***,-,-,1,5
人数【人】,2016年6月,6401,小国町,,32,12,8,***,1,-,-,***,-,2,-,9
人数【人】,2016年6月,6402,白鷹町,,102,54,21,***,17,2,5,***,-,-,-,3
人数【人】,2016年6月,6403,飯豊町,,55,34,10,***,4,-,-,***,-,1,-,6
人数【人】,2016年6月,6426,三川町,,19,7,3,***,2,1,3,***,-,1,-,2
人数【人】,2016年6月,6428,庄内町,,88,35,11,***,18,1,7,***,-,1,-,15
人数【人】,2016年6月,6461,遊佐町,,49,14,14,***,8,-,8,***,-,3,-,2
人数【人】,2016年6月,7201,福島市,,1719,590,189,***,390,31,139,***,100,41,15,224
人数【人】,2016年6月,7202,会津若松市,,698,169,147,***,103,3,36,***,12,29,37,162
人数【人】,2016年6月,7203,郡山市,,2126,791,411,***,248,24,178,***,46,50,10,368
人数【人】,2016年6月,7204,いわき市,,2027,478,275,***,364,14,163,***,222,45,17,449
人数【人】,2016年6月,7205,白河市,,528,134,33,***,166,29,42,***,23,6,3,92
人数【人】,2016年6月,7207,須賀川市,,347,73,19,***,101,13,66,***,2,6,4,63
人数【人】,2016年6月,7208,喜多方市,,184,51,37,***,48,2,7,***,1,8,4,26
人数【人】,2016年6月,7209,相馬市,,191,96,24,***,23,-,16,***,-,2,2,28
人数【人】,2016年6月,7210,二本松市,,306,77,26,***,106,9,29,***,1,4,2,52
人数【人】,2016年6月,7211,田村市,,274,146,23,***,34,14,24,***,-,12,2,19
人数【人】,2016年6月,7212,南相馬市,,290,94,42,***,77,5,26,***,-,9,1,36
人数【人】,2016年6月,7213,伊達市,,378,148,21,***,120,6,48,***,-,6,3,26
人数【人】,2016年6月,7214,本宮市,,156,51,14,***,37,-,21,***,-,5,-,28
人数【人】,2016年6月,7301,桑折町,,38,14,1,***,11,1,7,***,-,3,-,1
人数【人】,2016年6月,7303,国見町,,64,22,6,***,22,1,9,***,-,-,-,4
人数【人】,2016年6月,7308,川俣町,,100,34,2,***,33,5,6,***,-,-,-,20
人数【人】,2016年6月,7322,大玉村,,31,15,3,***,3,-,-,***,-,2,-,8
人数【人】,2016年6月,7342,鏡石町,,51,9,6,***,17,4,4,***,-,2,1,8
人数【人】,2016年6月,7344,天栄村,,59,17,1,***,2,-,-,***,-,-,1,38
人数【人】,2016年6月,7362,下郷町,,20,5,8,***,1,-,-,***,-,-,-,6
人数【人】,2016年6月,7364,檜枝岐村,,2,-,1,***,-,-,-,***,-,-,-,1
人数【人】,2016年6月,7367,只見町,,9,2,-,***,1,-,-,***,-,-,-,6
人数【人】,2016年6月,7368,南会津町,,68,33,14,***,13,-,-,***,-,3,1,4
人数【人】,2016年6月,7402,北塩原村,,23,13,3,***,3,-,1,***,-,-,1,2
人数【人】,2016年6月,7405,西会津町,,40,24,4,***,5,-,-,***,-,1,-,6
人数【人】,2016年6月,7407,磐梯町,,9,1,-,***,2,-,-,***,-,2,2,2
人数【人】,2016年6月,7408,猪苗代町,,49,15,14,***,8,-,1,***,3,2,-,6
人数【人】,2016年6月,7421,会津坂下町,,83,20,11,***,6,3,32,***,-,-,1,10
人数【人】,2016年6月,7422,湯川村,,9,1,2,***,3,-,-,***,-,-,-,3
人数【人】,2016年6月,7423,柳津町,,10,4,3,***,1,-,-,***,-,1,-,1
人数【人】,2016年6月,7444,三島町,,5,1,1,***,1,-,-,***,-,-,-,2
人数【人】,2016年6月,7445,金山町,,7,4,2,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,7446,昭和村,,5,2,2,***,1,-,-,***,-,-,-,-
人数【人】,2016年6月,7447,会津美里町,,36,7,9,***,9,-,1,***,-,4,1,5
人数【人】,2016年6月,7461,西郷村,,221,41,8,***,63,5,14,***,43,-,1,46
人数【人】,2016年6月,7464,泉崎村,,94,50,3,***,12,4,5,***,11,2,-,7
人数【人】,2016年6月,7465,中島村,,26,5,-,***,2,-,6,***,-,1,-,12
人数【人】,2016年6月,7466,矢吹町,,121,40,3,***,21,3,17,***,-,3,-,34
人数【人】,2016年6月,7481,棚倉町,,88,10,8,***,34,1,25,***,-,1,-,9
人数【人】,2016年6月,7482,矢祭町,,20,-,3,***,11,-,3,***,-,1,-,2
人数【人】,2016年6月,7483,塙町,,85,7,2,***,28,-,29,***,3,2,-,14
人数【人】,2016年6月,7484,鮫川村,,12,5,-,***,3,-,3,***,-,-,-,1
人数【人】,2016年6月,7501,石川町,,105,61,3,***,16,-,7,***,-,3,-,15
人数【人】,2016年6月,7502,玉川村,,62,21,-,***,22,-,8,***,-,1,-,10
人数【人】,2016年6月,7503,平田村,,101,30,-,***,41,-,28,***,-,-,-,2
人数【人】,2016年6月,7504,浅川町,,35,9,1,***,18,-,3,***,-,-,-,4
人数【人】,2016年6月,7505,古殿町,,57,39,-,***,15,-,-,***,-,1,-,2
人数【人】,2016年6月,7521,三春町,,64,29,6,***,7,-,10,***,-,5,1,6
人数【人】,2016年6月,7522,小野町,,68,25,9,***,11,17,1,***,-,1,-,4
人数【人】,2016年6月,7541,広野町,,36,5,10,***,2,-,14,***,-,1,-,4
人数【人】,2016年6月,7542,楢葉町,,27,8,2,***,12,-,1,***,-,-,1,3
人数【人】,2016年6月,7543,富岡町,,57,20,8,***,19,-,1,***,-,-,2,7
人数【人】,2016年6月,7544,川内村,,31,12,-,***,10,1,7,***,-,1,-,-
人数【人】,2016年6月,7545,大熊町,,47,16,8,***,14,-,-,***,-,-,4,5
人数【人】,2016年6月,7546,双葉町,,26,4,2,***,12,3,-,***,-,1,-,4
人数【人】,2016年6月,7547,浪江町,,47,10,7,***,22,-,-,***,-,-,2,6
人数【人】,2016年6月,7548,葛尾村,,6,-,-,***,6,-,-,***,-,-,-,-
人数【人】,2016年6月,7561,新地町,,39,7,5,***,17,1,-,***,-,2,1,6
人数【人】,2016年6月,7564,飯舘村,,39,7,8,***,23,-,-,***,-,1,-,-
人数【人】,2016年6月,8201,水戸市,,3190,641,815,***,384,26,272,***,101,98,33,820
人数【人】,2016年6月,8202,日立市,,1694,415,209,***,563,23,53,***,30,43,19,339
人数【人】,2016年6月,8203,土浦市,,3423,647,283,***,854,451,124,***,32,28,97,907
人数【人】,2016年6月,8204,古河市,,2929,541,172,***,902,212,239,***,29,19,62,753
人数【人】,2016年6月,8205,石岡市,,930,152,107,***,159,70,33,***,9,9,68,323
人数【人】,2016年6月,8207,結城市,,1946,274,28,***,296,358,248,***,162,6,24,550
人数【人】,2016年6月,8208,龍ケ崎市,,1375,366,102,***,319,81,60,***,23,22,25,377
人数【人】,2016年6月,8210,下妻市,,1788,188,42,***,359,157,113,***,19,11,57,842
人数【人】,2016年6月,8211,常総市,,4358,269,62,***,1035,1919,149,***,28,3,31,862
人数【人】,2016年6月,8212,常陸太田市,,128,44,19,***,20,3,5,***,2,7,1,27
人数【人】,2016年6月,8214,高萩市,,147,26,19,***,32,21,1,***,5,8,1,34
人数【人】,2016年6月,8215,北茨城市,,251,42,49,***,41,17,16,***,-,7,2,77
人数【人】,2016年6月,8216,笠間市,,600,100,54,***,101,88,30,***,10,15,12,190
人数【人】,2016年6月,8217,取手市,,1536,372,166,***,204,130,174,***,136,25,39,290
人数【人】,2016年6月,8219,牛久市,,1113,255,77,***,151,319,25,***,16,20,30,220
人数【人】,2016年6月,8220,つくば市,,8462,2949,899,***,358,273,306,***,124,215,252,3086
人数【人】,2016年6月,8221,ひたちなか市,,1382,438,116,***,318,28,87,***,31,42,28,294
人数【人】,2016年6月,8222,鹿嶋市,,854,175,109,***,182,25,37,***,12,20,41,253
人数【人】,2016年6月,8223,潮来市,,317,50,25,***,44,10,11,***,8,2,14,153
人数【人】,2016年6月,8224,守谷市,,736,203,112,***,74,107,35,***,6,31,37,131
人数【人】,2016年6月,8225,常陸大宮市,,263,63,49,***,25,30,15,***,4,6,4,67
人数【人】,2016年6月,8226,那珂市,,223,45,31,***,47,-,22,***,11,9,3,55
人数【人】,2016年6月,8227,筑西市,,2119,190,104,***,462,228,107,***,17,10,59,942
人数【人】,2016年6月,8228,坂東市,,2024,262,105,***,389,67,203,***,37,12,14,935
人数【人】,2016年6月,8229,稲敷市,,886,200,52,***,129,46,69,***,16,5,22,347
人数【人】,2016年6月,8230,かすみがうら市,,1035,116,24,***,80,284,51,***,-,6,7,467
人数【人】,2016年6月,8231,桜川市,,285,77,26,***,39,5,28,***,6,5,8,91
人数【人】,2016年6月,8232,神栖市,,2265,658,118,***,391,199,137,***,-,13,147,602
人数【人】,2016年6月,8233,行方市,,976,448,17,***,81,5,69,***,17,5,10,324
人数【人】,2016年6月,8234,鉾田市,,2190,795,47,***,117,2,480,***,9,4,13,723
人数【人】,2016年6月,8235,つくばみらい市,,450,82,62,***,75,45,38,***,-,11,19,118
人数【人】,2016年6月,8236,小美玉市,,1177,203,74,***,98,44,155,***,-,9,35,559
人数【人】,2016年6月,8302,茨城町,,493,185,32,***,17,5,40,***,5,3,8,198
人数【人】,2016年6月,8309,大洗町,,718,103,11,***,90,3,28,***,18,2,7,456
人数【人】,2016年6月,8310,城里町,,85,11,28,***,21,1,-,***,-,1,1,22
人数【人】,2016年6月,8341,東海村,,304,83,33,***,30,29,16,***,11,13,6,83
人数【人】,2016年6月,8364,大子町,,82,17,6,***,33,1,1,***,-,2,-,22
人数【人】,2016年6月,8442,美浦村,,319,52,53,***,63,17,16,***,-,-,4,114
人数【人】,2016年6月,8443,阿見町,,759,86,45,***,229,52,19,***,5,12,9,302
人数【人】,2016年6月,8447,河内町,,94,31,2,***,10,1,11,***,-,-,3,36
人数【人】,2016年6月,8521,八千代町,,1058,396,10,***,87,8,115,***,5,-,16,421
人数【人】,2016年6月,8542,五霞町,,132,14,3,***,21,38,9,***,-,-,-,47
人数【人】,2016年6月,8546,境町,,772,63,27,***,124,138,23,***,1,-,15,381
人数【人】,2016年6月,8564,利根町,,285,56,5,***,20,13,80,***,-,3,3,105
人数【人】,2016年6月,9201,宇都宮市,,8529,2407,984,***,667,455,941,***,320,200,565,1990
人数【人】,2016年6月,9202,足利市,,3827,715,182,***,524,420,324,***,165,38,20,1439
人数【人】,2016年6月,9203,栃木市,,3568,398,82,***,489,95,241,***,988,26,19,1230
人数【人】,2016年6月,9204,佐野市,,2287,353,85,***,323,224,226,***,109,34,40,893
人数【人】,2016年6月,9205,鹿沼市,,1075,194,46,***,88,88,394,***,9,9,19,228
人数【人】,2016年6月,9206,日光市,,697,138,73,***,128,64,66,***,-,18,44,166
人数【人】,2016年6月,9208,小山市,,5982,590,466,***,720,1069,345,***,593,38,63,2098
人数【人】,2016年6月,9209,真岡市,,3179,315,49,***,522,833,126,***,20,10,31,1273
人数【人】,2016年6月,9210,大田原市,,1006,184,40,***,163,377,37,***,4,12,24,165
人数【人】,2016年6月,9211,矢板市,,325,88,20,***,33,18,58,***,3,6,10,89
人数【人】,2016年6月,9213,那須塩原市,,1921,398,107,***,334,406,44,***,8,31,37,556
人数【人】,2016年6月,9214,さくら市,,299,96,17,***,38,6,39,***,1,11,5,86
人数【人】,2016年6月,9215,那須烏山市,,255,82,7,***,41,3,55,***,-,1,8,58
人数【人】,2016年6月,9216,下野市,,580,199,67,***,63,13,63,***,1,10,17,147
人数【人】,2016年6月,9301,上三川町,,296,76,15,***,40,43,34,***,-,7,15,66
人数【人】,2016年6月,9342,益子町,,195,28,13,***,16,19,8,***,1,7,14,89
人数【人】,2016年6月,9343,茂木町,,68,10,7,***,7,4,18,***,-,5,1,16
人数【人】,2016年6月,9344,市貝町,,158,63,5,***,16,25,1,***,1,4,8,35
人数【人】,2016年6月,9345,芳賀町,,147,35,9,***,14,30,17,***,4,-,1,37
人数【人】,2016年6月,9361,壬生町,,473,61,34,***,66,30,101,***,6,6,31,138
人数【人】,2016年6月,9364,野木町,,285,30,30,***,40,55,30,***,14,3,10,73
人数【人】,2016年6月,9367,岩舟町,,***,***,***,***,***,***,***,***,***,***,***,***
人数【人】,2016年6月,9384,塩谷町,,60,33,4,***,11,3,-,***,-,-,1,8
人数【人】,2016年6月,9386,高根沢町,,379,129,37,***,22,8,62,***,6,6,6,103
人数【人】,2016年6月,9407,那須町,,238,55,31,***,44,4,23,***,3,8,12,58
人数【人】,2016年6月,9411,那珂川町,,95,32,-,***,29,2,-,***,-,2,2,28
人数【人】,2016年6月,10201,前橋市,,4914,1213,469,***,812,376,676,***,284,87,44,953
人数【人】,2016年6月,10202,高崎市,,4552,1421,482,***,743,252,434,***,96,97,112,915
人数【人】,2016年6月,10203,桐生市,,1643,277,154,***,391,38,155,***,34,37,4,553
人数【人】,2016年6月,10204,伊勢崎市,,11219,593,178,***,1397,3464,1368,***,244,25,33,3917
人数【人】,2016年6月,10205,太田市,,9359,1215,426,***,1358,2906,887,***,352,66,32,2117
人数【人】,2016年6月,10206,沼田市,,554,222,44,***,52,13,63,***,22,10,19,109
人数【人】,2016年6月,10207,館林市,,1976,434,67,***,299,185,235,***,83,23,20,630
人数【人】,2016年6月,10208,渋川市,,611,115,35,***,183,19,72,***,9,15,36,127
人数【人】,2016年6月,10209,藤岡市,,617,151,53,***,95,19,96,***,49,8,7,139
人数【人】,2016年6月,10210,富岡市,,489,223,32,***,51,7,65,***,13,10,9,79
人数【人】,2016年6月,10211,安中市,,489,84,34,***,103,25,79,***,4,9,9,142
人数【人】,2016年6月,10212,みどり市,,611,53,65,***,207,17,90,***,20,5,8,146
人数【人】,2016年6月,10344,榛東村,,149,21,4,***,16,6,22,***,3,6,2,69
人数【人】,2016年6月,10345,吉岡町,,118,19,8,***,36,7,18,***,-,1,7,22
人数【人】,2016年6月,10366,上野村,,15,8,-,***,2,-,-,***,-,1,-,4
人数【人】,2016年6月,10367,神流町,,6,2,-,***,2,-,-,***,-,1,-,1
人数【人】,2016年6月,10382,下仁田町,,34,13,1,***,11,2,-,***,-,3,2,2
人数【人】,2016年6月,10383,南牧村,,3,-,2,***,-,-,-,***,-,-,-,1
人数【人】,2016年6月,10384,甘楽町,,80,31,1,***,4,1,18,***,16,3,-,6
人数【人】,2016年6月,10421,中之条町,,178,25,1,***,101,5,4,***,6,3,22,11
人数【人】,2016年6月,10424,長野原町,,75,19,3,***,18,-,7,***,5,3,1,19
人数【人】,2016年6月,10425,嬬恋村,,334,96,8,***,12,8,48,***,-,3,22,137
人数【人】,2016年6月,10426,草津町,,184,33,31,***,23,30,2,***,12,1,27,25
人数【人】,2016年6月,10428,高山村,,23,3,2,***,1,-,5,***,-,1,1,10
人数【人】,2016年6月,10429,東吾妻町,,195,76,5,***,67,1,18,***,-,2,7,19
人数【人】,2016年6月,10443,片品村,,15,8,1,***,3,-,-,***,-,1,-,2
人数【人】,2016年6月,10444,川場村,,9,-,1,***,2,-,-,***,-,1,2,3
人数【人】,2016年6月,10448,昭和村,,388,230,2,***,34,1,39,***,7,9,-,66
人数【人】,2016年6月,10449,みなかみ町,,273,59,21,***,22,3,19,***,38,14,29,68
人数【人】,2016年6月,10464,玉村町,,774,77,33,***,198,166,109,***,21,10,22,138
人数【人】,2016年6月,10521,板倉町,,177,35,7,***,26,10,46,***,3,2,1,47
人数【人】,2016年6月,10522,明和町,,195,22,7,***,27,21,67,***,22,-,-,29
人数【人】,2016年6月,10523,千代田町,,302,43,3,***,39,77,44,***,10,-,1,85
人数【人】,2016年6月,10524,大泉町,,7231,263,92,***,204,4212,147,***,538,10,1,1764
人数【人】,2016年6月,10525,邑楽町,,527,78,16,***,39,111,63,***,14,5,2,199
人数【人】,2016年6月,11100,さいたま市,,20584,8780,3030,***,1995,318,1723,***,456,384,404,3494
人数【人】,2016年6月,11101,西区,,771,256,128,***,120,16,73,***,12,19,20,127
人数【人】,2016年6月,11102,北区,,2075,758,331,***,263,31,183,***,75,46,45,343
人数【人】,2016年6月,11103,大宮区,,2442,1235,410,***,168,19,106,***,61,44,52,347
人数【人】,2016年6月,11104,見沼区,,2781,973,351,***,292,98,442,***,64,56,34,471
人数【人】,2016年6月,11105,中央区,,1528,640,247,***,97,12,184,***,45,28,21,254
人数【人】,2016年6月,11106,桜区,,2308,1033,262,***,185,55,165,***,53,27,27,501
人数【人】,2016年6月,11107,浦和区,,2286,1133,379,***,138,17,115,***,27,62,61,354
人数【人】,2016年6月,11108,南区,,3622,1741,534,***,358,29,255,***,60,61,79,505
人数【人】,2016年6月,11109,緑区,,1085,310,230,***,159,9,43,***,29,26,40,239
人数【人】,2016年6月,11110,岩槻区,,1686,701,158,***,215,32,157,***,30,15,25,353
人数【人】,2016年6月,11201,川越市,,6650,2079,546,***,714,389,1076,***,479,124,134,1109
人数【人】,2016年6月,11202,熊谷市,,2892,922,355,***,432,115,189,***,20,34,130,695
人数【人】,2016年6月,11203,川口市,,29311,17560,2803,***,2293,268,2161,***,404,172,459,3191
人数【人】,2016年6月,11206,行田市,,1294,149,61,***,135,374,98,***,5,8,52,412
人数【人】,2016年6月,11207,秩父市,,522,215,33,***,141,12,15,***,1,13,4,88
人数【人】,2016年6月,11208,所沢市,,4714,1628,694,***,549,201,369,***,144,132,163,834
人数【人】,2016年6月,11209,飯能市,,760,175,82,***,114,26,39,***,14,23,14,273
人数【人】,2016年6月,11210,加須市,,1536,300,89,***,216,388,137,***,30,18,25,333
人数【人】,2016年6月,11211,本庄市,,2155,238,67,***,302,702,180,***,9,22,39,596
人数【人】,2016年6月,11212,東松山市,,1774,285,110,***,246,499,99,***,38,14,15,468
人数【人】,2016年6月,11214,春日部市,,3338,876,293,***,731,58,278,***,101,40,77,884
人数【人】,2016年6月,11215,狭山市,,2132,482,196,***,632,163,111,***,22,45,44,437
人数【人】,2016年6月,11216,羽生市,,1141,312,52,***,114,164,128,***,16,8,15,332
人数【人】,2016年6月,11217,鴻巣市,,1455,346,96,***,175,277,91,***,81,15,18,356
人数【人】,2016年6月,11218,深谷市,,2601,768,156,***,381,190,132,***,12,16,47,899
人数【人】,2016年6月,11219,上尾市,,2777,952,320,***,501,134,184,***,64,42,58,522
人数【人】,2016年6月,11221,草加市,,5612,1715,965,***,1045,161,379,***,111,57,95,1084
人数【人】,2016年6月,11222,越谷市,,5206,1742,736,***,929,81,397,***,106,63,166,986
人数【人】,2016年6月,11223,蕨市,,4942,3006,414,***,372,14,430,***,121,29,42,514
人数【人】,2016年6月,11224,戸田市,,6038,3209,759,***,529,111,481,***,204,38,137,570
人数【人】,2016年6月,11225,入間市,,1684,525,150,***,265,99,178,***,28,55,38,346
人数【人】,2016年6月,11227,朝霞市,,3242,1413,355,***,302,123,299,***,145,60,70,475
人数【人】,2016年6月,11228,志木市,,1604,637,181,***,212,17,192,***,89,19,26,231
人数【人】,2016年6月,11229,和光市,,2097,881,265,***,130,19,182,***,43,55,96,426
人数【人】,2016年6月,11230,新座市,,2784,1019,400,***,434,35,262,***,42,85,73,434
人数【人】,2016年6月,11231,桶川市,,578,222,83,***,58,8,39,***,6,11,26,125
